lsoa code (2011),lsoa code (2021),IMD rank,IMD dec,income,employment,EST,health and disability,crime,barriers to housing and services,living environment
E01008615,E01008615,"14,891",5,4,4,6,3,3,8,10
E01008616,E01008616,"28,879",9,9,8,10,7,4,8,10
E01008617,E01008617,"28,176",9,8,8,10,6,5,10,10
E01008618,E01008618,"28,072",9,10,7,10,6,7,4,10
E01008619,E01008619,"31,929",10,10,10,10,7,8,10,10
E01008620,E01008620,"29,296",9,8,8,10,6,8,7,10
E01008621,E01008621,"29,205",9,10,9,10,6,10,3,10
E01008622,E01008622,"15,864",5,5,3,6,4,5,6,10
E01008624,E01008624,"12,060",4,3,3,5,3,6,6,10
E01008625,E01008625,"3,679",2,1,1,2,1,4,6,10
E01008627,E01008627,"24,572",8,8,7,7,5,10,4,10
E01008628,E01008628,"3,841",2,1,1,2,1,3,8,10
E01008629,E01008629,"13,772",5,5,4,5,3,4,5,8
E01008630,E01008630,"4,892",2,1,1,2,2,5,8,10
E01008631,E01008631,"9,093",3,3,2,3,2,4,6,10
E01008632,E01008632,"5,825",2,2,2,3,1,4,7,10
E01008633,E01008633,"4,505",2,1,1,2,2,5,8,10
E01008634,E01008634,"3,681",2,1,1,2,1,4,6,10
E01008635,E01008635,"13,277",5,3,3,6,3,6,8,9
E01008636,E01008636,"7,527",3,2,2,4,1,5,9,10
E01008637,E01008637,"9,865",4,3,2,4,3,6,6,10
E01008638,E01008638,"19,796",7,6,5,8,3,6,7,10
E01008639,E01008639,"9,055",3,2,2,4,2,6,7,10
E01008640,E01008640,"11,594",4,3,3,6,2,3,9,10
E01008641,E01008641,"4,244",2,2,1,4,1,4,8,4
E01008642,E01008642,"22,819",7,7,6,8,3,7,9,10
E01008643,E01008643,"14,249",5,4,3,6,3,6,10,10
E01008644,E01008644,"5,717",2,2,2,3,1,4,5,10
E01008645,E01008645,"4,633",2,2,1,2,1,4,8,10
E01008646,E01008646,"11,000",4,4,3,5,2,2,7,10
E01008647,E01008647,"26,138",8,8,6,8,5,9,10,10
E01008648,E01008648,"13,527",5,4,3,7,2,7,6,10
E01008649,E01008649,"6,793",3,2,2,3,3,3,7,9
E01008650,E01008650,"22,110",7,6,5,8,4,7,10,10
E01008651,E01008651,"1,677",1,1,1,1,1,4,6,10
E01008652,E01008652,"2,699",1,2,1,2,1,2,8,9
E01008653,E01008653,"4,388",2,1,2,3,1,2,7,10
E01008654,E01008654,"8,459",3,3,2,4,2,3,9,7
E01008655,E01008655,"2,864",1,1,1,2,1,4,7,10
E01008656,E01008656,"7,257",3,3,2,4,1,4,7,10
E01008657,E01008657,"24,288",8,8,6,8,5,7,10,9
E01008658,E01008658,"2,131",1,1,1,2,1,4,1,10
E01008659,E01008659,"9,350",3,2,2,4,3,4,8,10
E01008660,E01008660,"9,649",3,4,2,7,2,3,10,4
E01008661,E01008661,"4,069",2,2,1,2,2,2,7,10
E01008662,E01008662,"5,583",2,2,1,3,2,3,8,10
E01008663,E01008663,"5,390",2,2,1,3,2,5,6,10
E01008664,E01008664,"2,427",1,1,1,2,1,1,7,9
E01008665,E01008665,"2,611",1,1,1,3,1,1,5,9
E01008666,E01008666,305,1,1,1,1,1,1,6,10
E01008667,E01008667,"1,844",1,1,1,2,1,2,5,10
E01008668,E01008668,"3,638",2,2,1,2,2,2,6,8
E01008669,E01008669,870,1,1,1,1,1,2,8,10
E01008670,E01008670,"3,471",2,1,1,2,1,1,8,10
E01008671,E01008671,"1,820",1,1,1,3,1,2,3,10
E01008672,E01008672,"8,108",3,3,2,3,2,2,8,10
E01008673,E01008673,"26,235",8,9,6,10,5,7,10,7
E01008674,E01008674,"29,436",9,10,7,9,6,7,9,10
E01008675,E01008675,"13,107",4,3,3,6,3,6,10,7
E01008676,E01008676,"10,251",4,3,3,5,2,3,10,8
E01008677,E01008677,"25,159",8,7,6,8,5,8,9,9
E01008678,E01008678,"9,447",3,3,3,6,2,1,9,5
E01008679,E01008679,"13,063",4,5,4,6,3,1,10,9
E01008680,E01008680,"26,648",9,8,7,9,5,8,9,9
E01008681,E01008681,"28,138",9,8,7,10,6,6,10,9
E01008682,E01008682,"1,690",1,1,1,2,1,2,4,10
E01008683,E01008683,"10,094",4,3,3,5,3,2,10,5
E01008684,E01008684,"7,610",3,3,2,5,1,8,4,10
E01008685,E01008685,"16,637",6,4,4,6,4,6,7,10
E01008686,E01008686,"13,327",5,4,3,3,5,9,6,10
E01008687,E01008687,"16,700",6,4,3,7,5,9,9,10
E01008688,E01008688,"3,191",1,2,1,2,1,1,7,10
E01008689,E01008689,"2,459",1,1,1,2,1,2,7,10
E01008690,E01008690,"3,538",2,2,1,2,1,4,7,10
E01008691,E01008691,"22,284",7,8,6,6,5,7,4,10
E01008692,E01008692,"5,943",2,2,2,2,2,5,5,9
E01008693,E01008693,"4,769",2,2,1,2,1,3,10,10
E01008694,E01008694,"6,702",3,2,2,2,2,5,10,10
E01008695,E01008695,"4,370",2,2,1,2,1,4,8,10
E01008696,E01008696,"17,500",6,5,4,5,4,6,7,10
E01008697,E01008697,"6,017",2,2,2,2,1,5,10,10
E01008698,E01008698,"4,630",2,1,2,2,1,3,8,10
E01008699,E01008699,"3,754",2,1,1,1,2,2,10,9
E01008700,E01008700,"6,817",3,3,4,3,3,1,4,4
E01008701,E01008701,"5,661",2,3,2,2,2,1,9,6
E01008702,E01008702,399,1,1,1,1,1,1,7,10
E01008703,E01008703,"3,277",1,2,2,3,1,1,8,6
